abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Emigrants_males,Emigrants_females,Emigrants_males_HS,Emigrants_females_HS,Emigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Emigrants_014_female,Emigrants_014_male
MNG,24.13,Mongolia,2.9,"$13,852,850,259 ",104.00%,65.60%,14.0,69.7,45.0,$0.65 ,39.30%,2.86,"3,225,167",6.01%,Mongolia,2020.0,EAP-OTH,MNG,39910.0,45237.0,24489.0,26192.0,50681.0,233523.0,290109.0,521146.0,2258976.0,1737830.0,869677.0,865667.0,503467.0,515849.0,1304.0,1242.0
MNE,11.73,Montenegro,1.75,"$5,494,736,901 ",100.00%,56.10%,2.3,76.8,6.0,$1.23 ,31.80%,2.76,"622,137",14.88%,,,,,,,,,,,,,,,,,,,,
MAR,18.94,Morocco,2.42,"$118,725,279,596 ",113.90%,35.90%,19.2,76.5,70.0,$1.60 ,53.10%,0.73,"36,910,560",9.02%,Morocco,2020.0,MENA-OTH,MAR,1635817.0,1478257.0,346324.0,280985.0,627309.0,1285075.0,746790.0,2038628.0,27030340.0,24991712.0,13036717.0,11961758.0,4810164.0,5070054.0,57068.0,162224.0
MOZ,37.52,Mozambique,4.85,"$14,934,159,926 ",112.60%,7.30%,54.0,60.2,289.0,$0.27 ,6.80%,0.08,"30,366,036",3.24%,Mozambique,2020.0,SSA,MOZ,354911.0,223734.0,13124.0,17064.0,30188.0,195317.0,107643.0,306309.0,17483416.0,17177106.0,9092611.0,8087846.0,6866946.0,6905072.0,21875.0,20243.0
MMR,17.55,Myanmar,2.15,"$76,085,852,617 ",112.30%,18.80%,36.8,66.9,250.0,$0.39 ,73.90%,0.68,"54,045,420",1.58%,Myanmar,2020.0,EAP-OTH,MMR,1944613.0,1212782.0,77726.0,56828.0,134554.0,1087403.0,860037.0,1940394.0,40543136.0,38602740.0,20443828.0,18151864.0,6885738.0,6980923.0,167282.0,378331.0
NAM,28.64,Namibia,3.4,"$12,366,527,719 ",124.20%,22.90%,29.0,63.4,195.0,,8.30%,0.42,"2,494,530",20.27%,Namibia,2020.0,SSA,NAM,22955.0,23029.0,6813.0,6813.0,13626.0,15449.0,19035.0,34616.0,1604812.0,1570196.0,822114.0,748214.0,468084.0,468020.0,734.0,649.0
NRU,,Nauru,,"$133,000,000 ",,,,,,,,,"10,084",,Nauru,2020.0,EAP-HIC,NRU,1066.0,1093.0,390.0,436.0,826.0,,,,,,,,,,128.0,114.0
NPL,19.89,Nepal,1.92,"$30,641,380,604 ",142.10%,12.40%,26.7,70.5,186.0,$0.36 ,60.40%,0.75,"28,608,710",1.41%,Nepal,2020.0,SA,NPL,1249219.0,915376.0,206467.0,119647.0,326114.0,408258.0,230585.0,639494.0,20742576.0,20103082.0,11409257.0,8694476.0,4148531.0,4245701.0,203539.0,209790.0
NLD,9.7,Netherlands,1.59,"$909,070,395,161 ",104.20%,85.00%,3.3,81.8,5.0,$10.29 ,12.30%,3.61,"17,332,850",3.20%,Netherlands,2020.0,ECA-HIC,NLD,444839.0,441882.0,196945.0,187432.0,384377.0,1492241.0,1413483.0,2895588.0,14702891.0,11807304.0,6005207.0,5791960.0,1332894.0,1405715.0,42236.0,40514.0
NZL,11.98,New Zealand,1.71,"$206,928,765,544 ",100.00%,82.00%,4.7,81.9,9.0,$11.49 ,12.60%,3.59,"4,841,000",4.07%,New Zealand,2020.0,EAP-HIC,NZL,372285.0,353155.0,132138.0,161043.0,293181.0,182377.0,360754.0,531836.0,4101141.0,3569305.0,1746329.0,1811682.0,481247.0,507812.0,6078.0,8048.0
NIC,20.64,Nicaragua,2.4,"$12,520,915,291 ",120.60%,17.40%,15.7,74.3,98.0,$0.54 ,36.00%,0.98,"6,545,502",6.84%,Nicaragua,2020.0,LAC,NIC,319496.0,379188.0,68597.0,87075.0,155672.0,236174.0,295038.0,531056.0,4670268.0,4139212.0,2113242.0,2025814.0,951425.0,1002861.0,13193.0,21306.0
NER,46.08,Niger,6.91,"$12,928,145,120 ",74.70%,4.40%,48.0,62.0,509.0,$0.29 ,52.30%,0.04,"23,310,715",0.47%,Niger,2020.0,SSA,NER,197242.0,132731.0,9895.0,5225.0,15120.0,77341.0,31268.0,113299.0,12182720.0,12069421.0,6099762.0,5974350.0,5905441.0,6118475.0,29396.0,36914.0
NGA,37.91,Nigeria,5.39,"$448,120,428,859 ",84.70%,10.20%,75.7,54.3,917.0,$0.54 ,72.20%,0.38,"200,963,599",8.10%,Nigeria,2020.0,SSA,NGA,800997.0,730170.0,338874.0,268817.0,607691.0,7205075.0,4574636.0,11786936.0,116494400.0,104707464.0,53274612.0,51440080.0,43820702.0,45824482.0,72345.0,97398.0
PRK,13.89,North Korea,1.9,"$32,100,000,000 ",112.80%,27.00%,13.7,72.1,89.0,,,3.67,"25,666,161",2.74%,"Korea, Dem. People's Rep.",2020.0,EAP-OTH,PRK,50920.0,45290.0,17465.0,15043.0,32508.0,2188537.0,1872758.0,4065184.0,20663454.0,16598270.0,8798464.0,7803696.0,2499215.0,2616146.0,5174.0,5596.0
MKD,,North Macedonia,,"$10,220,781,069 ",,,,,,,35.60%,,"1,836,713",,North Macedonia,2020.0,ECA-OTH,MKD,335026.0,314124.0,44173.0,40973.0,85146.0,103893.0,104795.0,208689.0,1734497.0,1525808.0,767687.0,758122.0,163345.0,174689.0,33559.0,18001.0
NOR,10.4,Norway,1.56,"$403,336,363,636 ",100.30%,82.00%,2.1,82.8,2.0,,14.30%,2.92,"5,347,896",3.35%,Norway,2020.0,ECA-HIC,NOR,72742.0,89606.0,36765.0,44530.0,81295.0,379851.0,479087.0,853505.0,4451134.0,3597629.0,1730114.0,1862082.0,451401.0,476940.0,7869.0,6120.0
OMN,19.19,Oman,2.89,"$76,983,094,928 ",103.40%,38.00%,9.8,77.6,19.0,$4.33 ,6.40%,2.0,"5,266,535",2.67%,Oman,2020.0,GCC,OMN,11199.0,8977.0,5862.0,3373.0,9235.0,526624.0,234809.0,762571.0,3958298.0,3195727.0,942714.0,2254151.0,558869.0,589455.0,1783.0,2262.0
PAK,28.25,Pakistan,3.51,"$304,400,000,000 ",94.30%,9.00%,57.2,67.1,140.0,$0.69 ,66.50%,0.98,"216,565,318",4.45%,Pakistan,2020.0,SA,PAK,3953628.0,2048225.0,1079702.0,539434.0,1619136.0,5732105.0,3530901.0,9309655.0,143978592.0,134668944.0,66665924.0,68049656.0,37023502.0,39890248.0,101995.0,216282.0
PLW,14.0,Palau,2.21,"$283,994,900 ",112.60%,54.70%,16.6,69.1,,$3.00 ,21.80%,1.18,"18,233",,Palau,2020.0,EAP-OTH,PLW,234.0,165.0,61.0,54.0,115.0,,,,,,,,,,18.0,20.0
PSE,,Palestine,,,,,,,,,,,,,Palestine,2020.0,MENA-OTH,PSE,1668824.0,1503650.0,469772.0,215781.0,685553.0,240011.0,287670.0,527535.0,2960681.0,2433146.0,1179189.0,1253811.0,900632.0,941956.0,371995.0,410228.0
PAN,18.98,Panama,2.46,"$66,800,800,000 ",94.40%,47.80%,13.1,78.3,52.0,$1.53 ,30.50%,1.57,"4,246,439",3.90%,Panama,2020.0,LAC,PAN,76106.0,103530.0,41363.0,60606.0,101969.0,211731.0,278614.0,490136.0,3171578.0,2681442.0,1317115.0,1364118.0,559159.0,584031.0,3687.0,4100.0
