abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Immigrants_males,Immigrants_females,Immigrants_males_HS,Immigrants_females_HS,Immigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Immigrants_014_female,Immigrants_014_male,Immigrants_total
IND,17.86,India,2.22,2611000000000.0,1.13,0.281,29.9,69.4,145.0,0.3,65.1,0.86,1366417754.0,5.36,India,2020.0,SA,IND,2168737.0,2443752.0,106956.0,65057.0,172013.0,45798452.0,24515572.0,70361040.0,1018986816.0,948625792.0,466778464.0,481894304.0,171609375.0,189408211.0,161040.0,105175.0,4612489.0
IDN,18.07,Indonesia,2.31,1119190780753.0,1.064,0.363,21.1,71.5,177.0,0.48,48.3,0.43,270203917.0,4.69,Indonesia,2020.0,EAP-OTH,IDN,185877.0,133857.0,80628.0,46228.0,126856.0,7785797.0,7670346.0,15380064.0,202582512.0,187202448.0,93508200.0,93618168.0,34627215.0,36313890.0,15110.0,20661.0,319734.0
IRN,18.78,Iran,2.14,445345282123.0,1.107,0.6809999999999999,12.4,76.5,16.0,1.58,39.7,1.58,82913906.0,11.38,"Iran, Islamic Rep.",2020.0,MENA-OTH,IRN,1215202.0,1025475.0,22688.0,14805.0,37493.0,7222072.0,6898417.0,14085528.0,63209152.0,49123624.0,24568156.0,24520508.0,10117975.0,10665826.0,254242.0,302316.0,2240677.0
IRQ,29.08,Iraq,3.67,234094042939.0,1.087,0.162,22.5,70.5,79.0,1.24,76.5,0.71,39309783.0,12.82,Iraq,2020.0,MENA-OTH,IRQ,164183.0,133859.0,5025.0,1544.0,6569.0,1096974.0,577123.0,1682566.0,25053092.0,23370526.0,11914721.0,11464274.0,7372881.0,7796530.0,30480.0,37244.0,298042.0
IRL,12.5,Republic of Ireland,1.75,388698711348.0,1.0090000000000001,0.778,3.1,82.3,5.0,10.79,15.2,3.31,5007069.0,4.93,Ireland,2020.0,ECA-HIC,IRL,446736.0,460571.0,190181.0,218005.0,408186.0,461135.0,603282.0,1061598.0,3947046.0,2885449.0,1401245.0,1481384.0,506029.0,532599.0,43302.0,43813.0,907307.0
ISR,20.8,Israel,3.09,395098666122.0,1.0490000000000002,0.634,3.0,82.8,3.0,7.58,24.4,4.62,9053300.0,3.86,Israel,2020.0,MENA-OTH,ISR,623207.0,743775.0,266829.0,328936.0,595765.0,773532.0,901637.0,1673909.0,6650678.0,4976769.0,2478571.0,2496939.0,1248266.0,1316156.0,55075.0,48473.0,1366982.0
ITA,7.3,Italy,1.29,2001244392042.0,1.0190000000000001,0.619,2.6,82.9,2.0,,22.8,3.98,60297396.0,9.89,Italy,2020.0,ECA-HIC,ITA,2554989.0,3145902.0,247491.0,482345.0,729836.0,2276296.0,2982749.0,5248389.0,51728648.0,46480260.0,23775560.0,22694044.0,3746365.0,3974516.0,443309.0,434707.0,5700891.0
JAM,16.1,Jamaica,1.98,16458071068.0,0.91,0.271,12.4,74.4,80.0,1.33,23.7,1.31,2948279.0,8.0,Jamaica,2020.0,LAC,JAM,10352.0,10006.0,5330.0,5180.0,10510.0,86170.0,150351.0,235913.0,2269490.0,2033577.0,1001937.0,1031032.0,339232.0,352439.0,1615.0,1656.0,20358.0
JPN,7.4,Japan,1.42,5081769542380.0,0.988,0.632,1.8,84.2,5.0,6.77,13.1,2.41,126226568.0,2.29,Japan,2020.0,EAP-HIC,JPN,958167.0,1087632.0,293275.0,282838.0,576113.0,17972544.0,10428179.0,28716948.0,110543328.0,81826384.0,46537732.0,35604872.0,7647241.0,8070432.0,228015.0,216403.0,2045799.0
JOR,21.98,Jordan,2.76,43743661972.0,0.815,0.344,13.9,74.4,46.0,1.49,25.1,2.32,10101694.0,14.72,Jordan,2020.0,MENA-OTH,JOR,1410891.0,1379691.0,259423.0,93040.0,352463.0,179871.0,67547.0,237867.0,6851018.0,6613151.0,3325070.0,3278530.0,1644544.0,1707578.0,321363.0,345746.0,2790582.0
KAZ,21.77,Kazakhstan,2.84,180161741180.0,1.044,0.617,8.8,73.2,10.0,0.41,38.8,3.25,18513930.0,4.59,Kazakhstan,2020.0,ECA-OTH,KAZ,1581474.0,1605508.0,520078.0,540933.0,1061011.0,730206.0,1076827.0,1796206.0,13289482.0,11493276.0,5923740.0,5558709.0,2652372.0,2813812.0,276468.0,268624.0,3186982.0
KEN,28.75,Kenya,3.49,95503088538.0,1.032,0.115,30.6,66.3,342.0,0.25,33.4,0.16,52573973.0,2.64,Kenya,2020.0,SSA,KEN,440915.0,431688.0,33560.0,27129.0,60689.0,860300.0,612242.0,1474065.0,33021168.0,31547104.0,16152318.0,15396307.0,10288213.0,10461920.0,88484.0,89060.0,872603.0
KIR,27.89,Kiribati,3.57,194647202.0,1.013,,41.2,68.1,92.0,,0.2,0.2,117606.0,,Kiribati,2020.0,EAP-OTH,KIR,1513.0,1340.0,432.0,388.0,820.0,1043.0,1178.0,2220.0,76545.0,74325.0,38703.0,35621.0,20821.0,22080.0,136.0,137.0,2853.0
KWT,13.94,Kuwait,2.08,134761198946.0,0.924,0.544,6.7,75.4,12.0,0.95,14.4,2.58,4207083.0,2.18,Kuwait,2020.0,GCC,KWT,2025371.0,1007560.0,266875.0,131199.0,398074.0,127509.0,136763.0,263424.0,3354007.0,3090583.0,1094563.0,1995172.0,424791.0,491765.0,39169.0,38059.0,3032931.0
KGZ,27.1,Kyrgyzstan,3.3,8454619608.0,1.0759999999999998,0.413,16.9,71.4,60.0,0.09,48.2,1.88,6456900.0,6.33,Kyrgyz Republic,2020.0,ECA-OTH,KGZ,69474.0,102492.0,27956.0,44067.0,72023.0,206757.0,264131.0,469576.0,4431636.0,3962060.0,2012661.0,1948088.0,1048282.0,1099982.0,16063.0,10982.0,171966.0
LAO,23.55,Laos,2.67,18173839128.0,1.024,0.15,37.6,67.6,185.0,0.83,45.4,0.37,7169455.0,0.63,Lao PDR,2020.0,EAP-OTH,LAO,25603.0,14118.0,10276.0,4015.0,14291.0,210395.0,124843.0,336930.0,4951215.0,4614285.0,2358111.0,2257867.0,1140808.0,1183533.0,3220.0,5790.0,39721.0
LVA,10.0,Latvia,1.6,34117202555.0,0.9940000000000001,0.8809999999999999,3.3,74.7,19.0,2.8,41.6,3.19,1912789.0,6.52,Latvia,2020.0,ECA-HIC,LVA,70461.0,94715.0,23068.0,31153.0,54221.0,91501.0,201199.0,286998.0,1588167.0,1301169.0,673009.0,622458.0,150339.0,161943.0,3632.0,6068.0,165176.0
LBN,17.55,Lebanon,2.09,53367042272.0,0.951,0.263,6.4,78.9,29.0,2.15,32.1,2.1,6855713.0,6.23,Lebanon,2020.0,MENA-OTH,LBN,672131.0,698700.0,205185.0,137587.0,342772.0,487437.0,541304.0,1028684.0,5114389.0,4085705.0,2026782.0,2058867.0,821610.0,889443.0,174356.0,167576.0,1370831.0
LSO,26.81,Lesotho,3.14,2460072444.0,1.209,0.102,65.7,53.7,544.0,0.41,16.9,0.07,2125268.0,23.41,Lesotho,2020.0,SSA,LSO,5849.0,4890.0,757.0,497.0,1254.0,5548.0,6567.0,12107.0,1451633.0,1439526.0,733766.0,705752.0,344969.0,345650.0,633.0,688.0,10739.0
LBR,33.04,Liberia,4.32,3070518100.0,0.851,0.11900000000000001,53.5,63.7,661.0,0.17,19.6,0.04,4937374.0,2.81,Liberia,2020.0,SSA,LBR,48032.0,33517.0,2646.0,914.0,3560.0,32142.0,19659.0,56667.0,3015781.0,2959115.0,1494865.0,1469116.0,1000615.0,1041281.0,3736.0,2662.0,81549.0
LBY,18.83,Libya,2.24,52076250948.0,1.09,0.605,10.2,72.7,72.0,1.88,36.7,2.09,6777452.0,18.56,Libya,2020.0,MENA-OTH,LBY,490516.0,190747.0,84071.0,18898.0,102969.0,323320.0,582813.0,895960.0,4962117.0,4066157.0,1890505.0,2165479.0,929232.0,979938.0,41993.0,103282.0,681263.0
LIE,9.9,Liechtenstein,1.44,6552858739.0,1.047,0.35600000000000004,,83.0,,,,,38019.0,,Liechtenstein,2020.0,ECA-HIC,LIE,11370.0,11809.0,3963.0,4111.0,8074.0,,,,,,,,,,1449.0,1257.0,23179.0
LTU,10.0,Lithuania,1.63,54219315600.0,1.0390000000000001,0.7240000000000001,3.3,75.7,8.0,2.41,32.1,6.35,2786844.0,6.35,Lithuania,2020.0,ECA-HIC,LTU,57155.0,68168.0,19556.0,25491.0,45047.0,183821.0,323962.0,502838.0,2362294.0,1859456.0,966928.0,887583.0,210409.0,222182.0,7283.0,7655.0,125323.0
LUX,10.3,Luxembourg,1.37,71104919108.0,1.023,0.192,1.9,82.1,5.0,13.05,10.6,3.01,645397.0,5.36,Luxembourg,2020.0,ECA-HIC,LUX,141007.0,133949.0,52994.0,49275.0,102269.0,57850.0,51492.0,108949.0,532341.0,423392.0,212165.0,210834.0,47928.0,50150.0,0.0,0.0,274956.0
MDG,32.66,Madagascar,4.08,14083906357.0,1.425,0.054000000000000006,38.2,66.7,335.0,0.21,21.7,0.18,26969307.0,1.76,Madagascar,2020.0,SSA,MDG,18197.0,13604.0,7748.0,5143.0,12891.0,177206.0,139506.0,316800.0,16597292.0,16280492.0,8242962.0,8037618.0,5493932.0,5599795.0,1697.0,2065.0,31801.0
MWI,34.12,Malawi,4.21,7666704427.0,1.425,0.008,35.3,63.8,349.0,0.12,11.0,0.04,18628747.0,5.65,Malawi,2020.0,SSA,MWI,86804.0,92280.0,2027.0,1224.0,3251.0,16554.0,7976.0,24865.0,10905594.0,10880729.0,5608844.0,5272220.0,4079098.0,4145263.0,5470.0,6808.0,179084.0
MYS,16.75,Malaysia,2.0,364701517788.0,1.053,0.451,6.7,76.0,29.0,0.93,36.7,1.51,32447385.0,3.32,Malaysia,2020.0,EAP-OTH,MYS,1773551.0,1180286.0,61816.0,41251.0,103067.0,1317515.0,1355619.0,2653098.0,24776784.0,22123686.0,10696469.0,11407180.0,3683097.0,3906118.0,140009.0,382714.0,2953837.0
MDV,14.2,Maldives,1.87,5729248472.0,0.971,0.312,7.4,78.6,53.0,,16.4,4.56,530953.0,6.14,Maldives,2020.0,SA,MDV,57321.0,7768.0,2971.0,650.0,3621.0,1228.0,479.0,1725.0,434596.0,432871.0,145854.0,287035.0,51281.0,54665.0,877.0,4116.0,65089.0
MLI,41.54,Mali,5.88,17510141171.0,0.7559999999999999,0.045,62.0,58.9,562.0,0.23,46.3,0.13,19658031.0,7.22,Mali,2020.0,SSA,MLI,209479.0,204762.0,15459.0,5770.0,21229.0,92788.0,83673.0,175245.0,10731463.0,10556218.0,5342594.0,5212408.0,4679393.0,4839978.0,34759.0,36830.0,414241.0
MLT,9.2,Malta,1.23,14786156563.0,1.05,0.5429999999999999,6.1,82.3,6.0,5.07,37.1,2.86,502653.0,3.47,Malta,2020.0,ECA-HIC,MLT,55551.0,40938.0,12294.0,11528.0,23822.0,32971.0,37707.0,70570.0,441258.0,370688.0,183409.0,187171.0,35791.0,38283.0,7767.0,10504.0,96489.0
MHL,29.03,Marshall Islands,4.05,221278000.0,0.847,0.237,27.4,65.2,,2.0,10.0,0.42,58791.0,,Marshall Islands,2020.0,EAP-OTH,MHL,1843.0,1149.0,564.0,357.0,921.0,,,,,,,,,,128.0,178.0,2992.0
MRT,33.69,Mauritania,4.56,7593752450.0,0.9990000000000001,0.05,51.5,64.7,766.0,0.53,48.2,0.19,4525696.0,9.55,Mauritania,2020.0,SSA,MRT,87256.0,65355.0,5979.0,4957.0,10936.0,29403.0,9582.0,39150.0,2804438.0,2765288.0,1397397.0,1368058.0,907701.0,937521.0,13729.0,15948.0,152611.0
MUS,10.2,Mauritius,1.41,14180444557.0,1.011,0.406,13.6,74.4,61.0,0.38,50.7,2.53,1265711.0,6.67,Mauritius,2020.0,SSA,MUS,15900.0,12782.0,1709.0,1021.0,2730.0,16566.0,9506.0,25953.0,1053290.0,1027337.0,527546.0,499672.0,104182.0,108268.0,108.0,103.0,28682.0
MEX,17.6,Mexico,2.13,1258286717125.0,1.058,0.402,11.0,75.0,33.0,0.49,41.4,2.38,126014024.0,3.42,Mexico,2020.0,LAC,MEX,430594.0,438267.0,105582.0,97249.0,202831.0,6918298.0,6384475.0,13285808.0,95622624.0,82336816.0,43195976.0,39123880.0,16280814.0,17029309.0,107996.0,107267.0,868861.0
FSM,22.82,Federated States of Micronesia,3.05,401932279.0,0.972,0.141,25.6,67.8,88.0,,2.5,0.18,113815.0,,"Micronesia, Fed. Sts.",2020.0,EAP-OTH,FSM,1432.0,1250.0,206.0,188.0,394.0,3675.0,3666.0,7341.0,79144.0,71803.0,35383.0,36420.0,17492.0,18385.0,67.0,83.0,2682.0
MDA,10.1,Moldova,1.26,11955435457.0,0.9059999999999999,0.39799999999999996,13.6,71.8,19.0,0.31,46.2,3.21,2657637.0,5.47,Moldova,2020.0,ECA-OTH,MDA,35495.0,51074.0,12822.0,19067.0,31889.0,198941.0,279361.0,476293.0,2204143.0,1727850.0,883917.0,841924.0,202205.0,214147.0,10621.0,7248.0,86569.0
MCO,5.9,Monaco,,7184844193.0,,,2.6,,,11.72,6.1,6.56,38964.0,,Monaco,2020.0,ECA-HIC,MCO,12232.0,12922.0,2096.0,2216.0,4312.0,,,,,,,,,,782.0,665.0,25154.0
MNG,24.13,Mongolia,2.9,13852850259.0,1.04,0.6559999999999999,14.0,69.7,45.0,0.65,39.3,2.86,3225167.0,6.01,Mongolia,2020.0,EAP-OTH,MNG,11559.0,5770.0,4968.0,2518.0,7486.0,233523.0,290109.0,521146.0,2258976.0,1737830.0,869677.0,865667.0,503467.0,515849.0,1312.0,2705.0,17329.0
MNE,11.73,Montenegro,1.75,5494736901.0,1.0,0.561,2.3,76.8,6.0,1.23,31.8,2.76,622137.0,14.88,,,,,,,,,,,,,,,,,,,,,
MAR,18.94,Morocco,2.42,118725279596.0,1.139,0.359,19.2,76.5,70.0,1.6,53.1,0.73,36910560.0,9.02,Morocco,2020.0,MENA-OTH,MAR,45711.0,43139.0,5733.0,3320.0,9053.0,1285075.0,746790.0,2038628.0,27030340.0,24991712.0,13036717.0,11961758.0,4810164.0,5070054.0,6512.0,6996.0,88850.0
MOZ,37.52,Mozambique,4.85,14934159926.0,1.126,0.073,54.0,60.2,289.0,0.27,6.8,0.08,30366036.0,3.24,Mozambique,2020.0,SSA,MOZ,144479.0,149927.0,15221.0,11366.0,26587.0,195317.0,107643.0,306309.0,17483416.0,17177106.0,9092611.0,8087846.0,6866946.0,6905072.0,23433.0,21011.0,294406.0
MMR,17.55,Myanmar,2.15,76085852617.0,1.123,0.188,36.8,66.9,250.0,0.39,73.9,0.68,54045420.0,1.58,Myanmar,2020.0,EAP-OTH,MMR,29351.0,24253.0,4453.0,2114.0,6567.0,1087403.0,860037.0,1940394.0,40543136.0,38602740.0,20443828.0,18151864.0,6885738.0,6980923.0,5961.0,7031.0,53604.0
NAM,28.64,Namibia,3.4,12366527719.0,1.242,0.22899999999999998,29.0,63.4,195.0,,8.3,0.42,2494530.0,20.27,Namibia,2020.0,SSA,NAM,50927.0,45036.0,13757.0,12243.0,26000.0,15449.0,19035.0,34616.0,1604812.0,1570196.0,822114.0,748214.0,468084.0,468020.0,5331.0,8097.0,95963.0
NRU,,Nauru,,133000000.0,,,,,,,,,10084.0,,Nauru,2020.0,EAP-HIC,NRU,1211.0,858.0,271.0,132.0,403.0,,,,,,,,,,46.0,87.0,2069.0
NPL,19.89,Nepal,1.92,30641380604.0,1.421,0.124,26.7,70.5,186.0,0.36,60.4,0.75,28608710.0,1.41,Nepal,2020.0,SA,NPL,128044.0,296468.0,16216.0,37073.0,53289.0,408258.0,230585.0,639494.0,20742576.0,20103082.0,11409257.0,8694476.0,4148531.0,4245701.0,44166.0,18886.0,424512.0
NLD,9.7,Netherlands,1.59,909070395161.0,1.042,0.85,3.3,81.8,5.0,10.29,12.3,3.61,17332850.0,3.2,Netherlands,2020.0,ECA-HIC,NLD,836217.0,965208.0,275547.0,327055.0,602602.0,1492241.0,1413483.0,2895588.0,14702891.0,11807304.0,6005207.0,5791960.0,1332894.0,1405715.0,48836.0,56093.0,1801425.0
NZL,11.98,New Zealand,1.71,206928765544.0,1.0,0.82,4.7,81.9,9.0,11.49,12.6,3.59,4841000.0,4.07,New Zealand,2020.0,EAP-HIC,NZL,632662.0,674626.0,242847.0,279143.0,521990.0,182377.0,360754.0,531836.0,4101141.0,3569305.0,1746329.0,1811682.0,481247.0,507812.0,1912.0,12798.0,1307288.0
NIC,20.64,Nicaragua,2.4,12520915291.0,1.206,0.174,15.7,74.3,98.0,0.54,36.0,0.98,6545502.0,6.84,Nicaragua,2020.0,LAC,NIC,20028.0,18987.0,5498.0,4313.0,9811.0,236174.0,295038.0,531056.0,4670268.0,4139212.0,2113242.0,2025814.0,951425.0,1002861.0,1497.0,1655.0,39015.0
NER,46.08,Niger,6.91,12928145120.0,0.747,0.044000000000000004,48.0,62.0,509.0,0.29,52.3,0.04,23310715.0,0.47,Niger,2020.0,SSA,NER,131109.0,166825.0,3946.0,2031.0,5977.0,77341.0,31268.0,113299.0,12182720.0,12069421.0,6099762.0,5974350.0,5905441.0,6118475.0,19212.0,30910.0,297934.0
NGA,37.91,Nigeria,5.39,448120428859.0,0.847,0.102,75.7,54.3,917.0,0.54,72.2,0.38,200963599.0,8.1,Nigeria,2020.0,SSA,NGA,638130.0,534632.0,30700.0,10187.0,40887.0,7205075.0,4574636.0,11786936.0,116494400.0,104707464.0,53274612.0,51440080.0,43820702.0,45824482.0,60258.0,75549.0,1172762.0
PRK,13.89,North Korea,1.9,32100000000.0,1.128,0.27,13.7,72.1,89.0,,,3.67,25666161.0,2.74,"Korea, Dem. People's Rep.",2020.0,EAP-OTH,PRK,22299.0,22282.0,7425.0,7406.0,14831.0,2188537.0,1872758.0,4065184.0,20663454.0,16598270.0,8798464.0,7803696.0,2499215.0,2616146.0,2613.0,2355.0,44581.0
MKD,,North Macedonia,,10220781069.0,,,,,,,35.6,,1836713.0,,North Macedonia,2020.0,ECA-OTH,MKD,44564.0,62654.0,5708.0,5996.0,11704.0,103893.0,104795.0,208689.0,1734497.0,1525808.0,767687.0,758122.0,163345.0,174689.0,13917.0,10176.0,107218.0
NOR,10.4,Norway,1.56,403336363636.0,1.003,0.82,2.1,82.8,2.0,,14.3,2.92,5347896.0,3.35,Norway,2020.0,ECA-HIC,NOR,416398.0,391267.0,131881.0,149879.0,281760.0,379851.0,479087.0,853505.0,4451134.0,3597629.0,1730114.0,1862082.0,451401.0,476940.0,29413.0,27675.0,807665.0
OMN,19.19,Oman,2.89,76983094928.0,1.034,0.38,9.8,77.6,19.0,4.33,6.4,2.0,5266535.0,2.67,Oman,2020.0,GCC,OMN,1955477.0,365382.0,257789.0,45424.0,303213.0,526624.0,234809.0,762571.0,3958298.0,3195727.0,942714.0,2254151.0,558869.0,589455.0,23429.0,28548.0,2320859.0
PAK,28.25,Pakistan,3.51,304400000000.0,0.943,0.09,57.2,67.1,140.0,0.69,66.5,0.98,216565318.0,4.45,Pakistan,2020.0,SA,PAK,1458585.0,1177741.0,29853.0,10260.0,40113.0,5732105.0,3530901.0,9309655.0,143978592.0,134668944.0,66665924.0,68049656.0,37023502.0,39890248.0,286036.0,354219.0,2636326.0
PLW,14.0,Palau,2.21,283994900.0,1.126,0.547,16.6,69.1,,3.0,21.8,1.18,18233.0,,Palau,2020.0,EAP-OTH,PLW,2609.0,1963.0,882.0,671.0,1553.0,,,,,,,,,,237.0,279.0,4572.0
PSE,,Palestine,,,,,,,,,,,,,Palestine,2020.0,MENA-OTH,PSE,102596.0,121089.0,6038.0,3513.0,9551.0,240011.0,287670.0,527535.0,2960681.0,2433146.0,1179189.0,1253811.0,900632.0,941956.0,26958.0,22141.0,223685.0
PAN,18.98,Panama,2.46,66800800000.0,0.9440000000000001,0.478,13.1,78.3,52.0,1.53,30.5,1.57,4246439.0,3.9,Panama,2020.0,LAC,PAN,143561.0,130678.0,53225.0,42495.0,95720.0,211731.0,278614.0,490136.0,3171578.0,2681442.0,1317115.0,1364118.0,559159.0,584031.0,15431.0,23497.0,274239.0
PNG,27.07,Papua New Guinea,3.56,24969611435.0,1.085,0.018000000000000002,38.0,64.3,145.0,1.16,5.8,0.07,8776109.0,2.46,Papua New Guinea,2020.0,EAP-OTH,PNG,16562.0,10378.0,6668.0,4260.0,10928.0,14392.0,16698.0,32320.0,5802505.0,5770185.0,2842578.0,2928837.0,1519679.0,1624843.0,1796.0,2333.0,26940.0
PRY,20.57,Paraguay,2.43,38145288940.0,1.044,0.34600000000000003,17.2,74.1,129.0,1.55,36.5,1.35,7044636.0,4.81,Paraguay,2020.0,LAC,PRY,87011.0,79648.0,9416.0,7382.0,16798.0,207373.0,279609.0,491396.0,5071693.0,4580297.0,2221139.0,2363574.0,1007423.0,1053414.0,1608.0,1300.0,166659.0
PER,17.95,Peru,2.25,226848050820.0,1.069,0.7070000000000001,11.1,76.5,88.0,1.28,30.9,1.27,32510453.0,3.31,Peru,2020.0,LAC,PER,515305.0,467379.0,398968.0,175586.5,574554.5,1937737.0,1924127.0,3870065.0,24830392.0,20960328.0,10612537.0,10355990.0,4056576.0,4084879.0,114736.0,127100.0,982684.0
PHL,20.55,Philippines,2.58,376795508680.0,1.075,0.355,22.5,71.1,121.0,1.12,53.5,0.6,108116615.0,2.15,Philippines,2020.0,EAP-OTH,PHL,102569.0,93885.0,53859.0,43904.0,97763.0,2142340.0,2932241.0,5028129.0,76659984.0,71631856.0,35573880.0,36011528.0,16046139.0,16874956.0,14535.0,14536.0,196454.0
POL,10.2,Poland,1.46,592164400688.0,1.0,0.6779999999999999,3.8,77.6,2.0,2.93,23.2,2.38,37970874.0,3.47,Poland,2020.0,ECA-HIC,POL,327595.0,375052.0,83809.0,60447.0,144256.0,2038040.0,3073161.0,5089983.0,32131702.0,27041720.0,13651523.0,13368978.0,2811082.0,2956286.0,5948.0,9215.0,702647.0
PRT,8.5,Portugal,1.38,237686075635.0,1.062,0.639,3.1,81.3,8.0,3.78,27.7,5.12,10269417.0,6.33,Portugal,2020.0,ECA-HIC,PRT,338232.0,425287.0,84901.0,144271.0,229172.0,105877.0,383044.0,446392.0,8952903.0,8506511.0,4388301.0,4075682.0,654216.0,689962.0,34639.0,38663.0,763519.0
QAT,9.54,Qatar,1.87,183466208791.0,1.038,0.179,5.8,80.1,9.0,,6.2,2.49,2832067.0,0.09,Qatar,2020.0,GCC,QAT,1771725.0,352773.0,239210.0,47003.0,286213.0,173717.0,104426.0,274040.0,2488106.0,2214066.0,420328.0,1789635.0,191171.0,201783.0,30634.0,71060.0,2124498.0
ROU,9.6,Romania,1.71,250077444017.0,0.852,0.494,6.1,75.4,19.0,2.25,21.3,2.98,19356544.0,3.98,,,,,,,,,,,,,,,,,,,,,
RUS,11.5,Russia,1.57,1699876578871.0,1.026,0.8190000000000001,6.1,72.7,17.0,0.53,36.4,4.01,144373535.0,4.59,Russian Federation,2020.0,ECA-OTH,RUS,5685000.0,5757835.0,1606253.0,1774561.0,3380814.0,16291987.0,15774894.0,32441412.0,117618048.0,85176640.0,48641352.0,36909816.0,12879313.0,13575776.0,166987.0,27090.0,11442835.0
RWA,31.7,Rwanda,4.04,10122472590.0,1.33,0.067,27.0,68.7,248.0,,26.0,0.13,12626950.0,1.03,Rwanda,2020.0,SSA,RWA,208945.0,203946.0,9862.0,3564.0,13426.0,85542.0,56606.0,143697.0,7839420.0,7695724.0,3980936.0,3716336.0,2547236.0,2565553.0,50054.0,50962.0,412891.0
KNA,12.6,Saint Kitts and Nevis,2.11,1050992593.0,1.087,0.867,9.8,71.3,,3.33,56.6,2.52,52823.0,,St. Kitts and Nevis,2020.0,LAC,KNA,3880.0,3464.0,591.0,547.0,1138.0,,,,,,,,,,195.0,187.0,7344.0
LCA,12.0,Saint Lucia,1.44,2122450630.0,1.026,0.141,14.9,76.1,117.0,,48.4,0.64,182790.0,20.71,St. Lucia,2020.0,LAC,LCA,3364.0,3649.0,1071.0,1244.0,2315.0,12937.0,17607.0,30649.0,150665.0,120016.0,59330.0,60791.0,16270.0,16694.0,686.0,640.0,7013.0
VCT,14.24,Saint Vincent and the Grenadines,1.89,825385185.0,1.1340000000000001,0.237,14.8,72.4,68.0,1.16,21.4,0.66,100455.0,18.88,St. Vincent and the Grenadines,2020.0,LAC,VCT,2069.0,1945.0,644.0,670.0,1314.0,4556.0,5990.0,10553.0,86645.0,76092.0,36677.0,39422.0,12062.0,12240.0,350.0,374.0,4014.0
WSM,24.38,Samoa,3.88,850655017.0,1.105,0.076,13.6,73.2,43.0,0.78,11.5,0.34,202506.0,8.36,Samoa,2020.0,EAP-OTH,WSM,1736.0,1689.0,721.0,768.0,1489.0,7698.0,7401.0,15099.0,124603.0,109504.0,52820.0,56684.0,35486.0,38321.0,302.0,296.0,3425.0
SMR,6.8,San Marino,1.26,1637931034.0,1.081,0.425,1.7,85.4,,,18.3,6.11,33860.0,,San Marino,2020.0,ECA-HIC,SMR,2704.0,2295.0,906.0,731.0,1637.0,,,,,,,,,,257.0,287.0,4999.0
STP,31.54,Sao Tome and Principe,4.32,429016605.0,1.068,0.134,24.4,70.2,130.0,,11.7,0.05,215056.0,13.37,Sao Tome and Principe,2020.0,SSA,STP,877.0,888.0,54.0,64.0,118.0,689.0,828.0,1519.0,127644.0,126125.0,63394.0,62733.0,45264.0,46253.0,184.0,190.0,1765.0
SAU,17.8,Saudi Arabia,2.32,792966838162.0,0.998,0.68,6.0,75.0,17.0,3.85,15.0,2.61,34268528.0,5.93,Saudi Arabia,2020.0,GCC,SAU,8851999.0,3996420.0,1161435.0,524272.0,1685707.0,2881675.0,1760093.0,4598838.0,26216152.0,21617314.0,8686800.0,12887584.0,4235666.0,4362049.0,223292.0,383132.0,12848419.0
SEN,34.52,Senegal,4.63,23578084052.0,0.81,0.128,31.8,67.7,315.0,0.31,44.2,0.07,16296364.0,6.6,Senegal,2020.0,SSA,SEN,66428.0,55311.0,6070.0,3031.0,9101.0,162205.0,46909.0,206860.0,9612430.0,9405570.0,5007911.0,4395406.0,3518326.0,3613174.0,19474.0,24779.0,121739.0
SRB,9.2,Serbia,1.49,51409167351.0,1.003,0.672,4.8,75.5,12.0,1.57,40.6,3.11,6944975.0,12.69,,,,,,,,,,,,,,,,,,,,,
SYC,17.1,Seychelles,2.41,1698843063.0,1.004,0.171,12.4,72.8,53.0,2.0,2.5,0.95,97625.0,,Seychelles,2020.0,SSA,SYC,8250.0,3504.0,2790.0,1160.0,3950.0,6091.0,6025.0,12127.0,75062.0,62935.0,30551.0,32395.0,11384.0,12016.0,410.0,888.0,11754.0
SLE,33.41,Sierra Leone,4.26,3941474311.0,1.128,0.02,78.5,54.3,1120.0,0.57,38.2,0.03,7813215.0,4.43,Sierra Leone,2020.0,SSA,SLE,7001.0,4868.0,1240.0,723.0,1963.0,15753.0,28153.0,41687.0,4758781.0,4717094.0,2361743.0,2353132.0,1605850.0,1612354.0,2250.0,1851.0,11869.0
SGP,8.8,Singapore,1.14,372062527489.0,1.006,0.848,2.3,83.1,8.0,,36.7,2.29,5703569.0,4.11,Singapore,2020.0,EAP-HIC,SGP,974379.0,1218677.0,84610.0,87768.0,172378.0,1037098.0,931206.0,1965085.0,4986385.0,3021301.0,1439482.0,1578599.0,338985.0,360437.0,192454.0,138138.0,2193056.0
